TimeGenerated,UserPrincipalName,IPAddress,ResultType,ResultDescription,Location,City,AppDisplayName,ClientAppUsed,DeviceDetail,LogonType,RiskLevelDuringSignIn,IsInteractive,ConditionalAccessStatus,AttackPattern
2026-02-19T16:15:21Z,john.doe@contoso.com,10.0.0.12,0,Success,Australia,New York,OneDrive,Unknown,MacOS 14,Network,none,True,success,Normal
2026-02-19T16:17:21Z,david.clark@contoso.com,192.168.1.25,0,Success,Germany,Sydney,Azure Portal,Chrome 120,iOS 17,RemoteInteractive,low,False,success,Normal
2026-02-19T16:21:21Z,bob.wilson@contoso.com,10.0.0.12,0,Success,Canada,Berlin,Azure Portal,Chrome 120,Unknown,Network,none,False,success,Normal
2026-02-19T16:22:21Z,it.admin@contoso.com,172.16.0.5,0,Success,Australia,Sydney,Azure Portal,Safari 17,Unknown,Network,none,True,success,Normal
2026-02-19T16:22:21Z,john.doe@contoso.com,172.16.0.20,50126,Invalid username or password,United Kingdom,Sydney,OneDrive,Firefox 121,MacOS 14,Network,none,True,success,Normal
2026-02-19T16:28:21Z,alice.brown@contoso.com,192.168.1.10,0,Success,Canada,Toronto,Microsoft Teams,Internet Explorer 11,MacOS 13,Network,none,True,failure,Normal
2026-02-19T16:28:21Z,mary.jones@contoso.com,192.168.1.10,0,Success,United Kingdom,London,Office 365 Exchange Online,Unknown,MacOS 14,Interactive,none,False,success,Normal
2026-02-19T16:28:21Z,ceo@contoso.com,10.0.0.5,0,Success,United Kingdom,Berlin,Azure Active Directory,Unknown,Unknown,Batch,none,True,notApplied,Normal
2026-02-19T16:31:21Z,mary.jones@contoso.com,192.168.1.25,0,Success,Canada,Toronto,Microsoft 365 Admin Center,Safari 17,Android 14,Network,none,True,success,Normal
2026-02-19T16:31:21Z,david.clark@contoso.com,192.168.1.25,0,Success,Germany,Berlin,Microsoft 365 Admin Center,Chrome 120,MacOS 13,Interactive,none,True,success,Normal
2026-02-19T16:34:21Z,david.clark@contoso.com,192.168.1.10,0,Success,United Kingdom,London,OneDrive,Safari 17,MacOS 13,Interactive,none,True,notApplied,Normal
2026-02-19T16:35:21Z,sarah.lee@contoso.com,192.168.1.42,0,Success,United Kingdom,Toronto,Office 365 Exchange Online,Firefox 121,iOS 17,RemoteInteractive,none,True,success,Normal
2026-02-19T16:35:21Z,admin@contoso.com,192.168.1.10,0,Success,United States,New York,Azure Portal,Internet Explorer 11,Windows 10,Batch,none,False,success,Normal
2026-02-19T16:36:21Z,jane.smith@contoso.com,192.168.1.10,0,Success,Germany,London,Outlook Web Access,Internet Explorer 11,Windows 10,RemoteInteractive,none,True,success,Normal
2026-02-19T16:38:21Z,david.clark@contoso.com,192.168.1.25,0,Success,Canada,London,Microsoft Teams,Safari 17,MacOS 14,Network,none,False,success,Normal
2026-02-19T16:42:21Z,guest@contoso.com,192.168.1.42,0,Success,United States,Sydney,SharePoint Online,Unknown,Windows 10,Network,none,False,success,Normal
2026-02-19T16:45:21Z,guest@contoso.com,172.16.0.20,0,Success,Canada,London,Azure Portal,Safari 17,Windows 11,RemoteInteractive,none,False,success,Normal
2026-02-19T16:45:21Z,jane.smith@contoso.com,10.0.0.12,0,Success,United States,Toronto,Azure Portal,Unknown,Android 14,RemoteInteractive,none,False,success,Normal
2026-02-19T16:47:21Z,bob.wilson@contoso.com,10.0.0.12,0,Success,Germany,London,Azure Portal,Safari 17,Windows 10,Interactive,none,False,success,Normal
2026-02-19T16:47:21Z,admin@contoso.com,192.168.1.25,0,Success,United States,Sydney,Azure Active Directory,Firefox 121,Windows 11,Interactive,none,True,success,Normal
2026-02-19T16:51:21Z,jane.smith@contoso.com,192.168.1.42,0,Success,Germany,London,Outlook Web Access,Unknown,iOS 17,Network,none,False,success,Normal
2026-02-19T16:53:21Z,bob.wilson@contoso.com,172.16.0.20,0,Success,Germany,Berlin,Outlook Web Access,Chrome 120,Unknown,Network,none,False,success,Normal
2026-02-19T16:53:21Z,sarah.lee@contoso.com,10.0.0.5,0,Success,United States,New York,Microsoft Teams,Internet Explorer 11,Windows 11,Batch,low,True,notApplied,Normal
2026-02-19T16:53:21Z,helpdesk@contoso.com,10.0.0.12,0,Success,Australia,New York,Office 365 Exchange Online,Internet Explorer 11,Android 14,Interactive,none,True,success,Normal
2026-02-19T16:56:21Z,mary.jones@contoso.com,10.0.0.12,0,Success,United Kingdom,Berlin,SharePoint Online,Safari 17,iOS 17,Network,none,False,notApplied,Normal
2026-02-19T17:00:21Z,admin@contoso.com,172.16.0.20,0,Success,Canada,London,Azure Active Directory,Chrome 120,Unknown,Service,none,False,notApplied,Normal
2026-02-19T17:00:21Z,john.doe@contoso.com,10.0.0.33,50126,Invalid username or password,Germany,Toronto,Azure Portal,Chrome 120,Android 14,Interactive,none,False,success,Normal
2026-02-19T17:01:21Z,sarah.lee@contoso.com,172.16.0.5,0,Success,United States,Toronto,Azure Portal,Chrome 120,Windows 10,Interactive,none,False,success,Normal
2026-02-19T17:01:21Z,guest@contoso.com,172.16.0.20,0,Success,Canada,Berlin,SharePoint Online,Chrome 120,Android 14,Batch,none,False,success,Normal
2026-02-19T17:01:21Z,bob.wilson@contoso.com,172.16.0.20,0,Success,United Kingdom,Berlin,Microsoft 365 Admin Center,Edge 120,MacOS 14,RemoteInteractive,none,False,notApplied,Normal
2026-02-19T17:01:21Z,john.doe@contoso.com,10.0.0.5,0,Success,Australia,Berlin,Office 365 Exchange Online,Internet Explorer 11,Android 14,Network,none,False,notApplied,Normal
2026-02-19T17:03:21Z,it.admin@contoso.com,192.168.1.25,0,Success,United States,Sydney,Microsoft 365 Admin Center,Firefox 121,Android 14,Network,none,True,success,Normal
2026-02-19T17:04:21Z,svc.backup@contoso.com,10.0.0.33,0,Success,United Kingdom,Toronto,Azure Portal,Internet Explorer 11,iOS 17,Interactive,low,True,success,Normal
2026-02-19T17:07:21Z,svc.azure@contoso.com,192.168.1.42,0,Success,Canada,New York,Office 365 Exchange Online,Edge 120,iOS 17,RemoteInteractive,none,True,notApplied,Normal
2026-02-19T17:08:21Z,finance01@contoso.com,192.168.1.25,0,Success,Germany,Berlin,Microsoft 365 Admin Center,Chrome 120,iOS 17,Interactive,none,True,success,Normal
2026-02-19T17:11:21Z,guest@contoso.com,10.0.0.5,0,Success,United States,London,Microsoft 365 Admin Center,Chrome 120,Android 14,Network,none,False,notApplied,Normal
2026-02-19T17:23:21Z,ceo@contoso.com,10.0.0.12,0,Success,United Kingdom,Toronto,Azure Portal,Internet Explorer 11,MacOS 13,RemoteInteractive,none,True,success,Normal
2026-02-19T17:28:21Z,it.admin@contoso.com,10.0.0.12,0,Success,Canada,New York,Azure Active Directory,Chrome 120,iOS 17,Network,none,True,success,Normal
2026-02-19T17:29:21Z,mary.jones@contoso.com,10.0.0.33,0,Success,United States,New York,Office 365 Exchange Online,Internet Explorer 11,iOS 17,Interactive,none,True,notApplied,Normal
2026-02-19T17:32:21Z,david.clark@contoso.com,172.16.0.20,0,Success,Canada,Sydney,Azure Portal,Internet Explorer 11,Windows 11,Network,none,True,success,Normal
2026-02-19T17:32:21Z,sarah.lee@contoso.com,172.16.0.5,0,Success,United Kingdom,London,Azure Active Directory,Firefox 121,Windows 10,Interactive,none,False,success,Normal
2026-02-19T17:34:21Z,mary.jones@contoso.com,10.0.0.33,0,Success,Germany,New York,Azure Active Directory,Unknown,MacOS 13,Service,none,False,notApplied,Normal
2026-02-19T17:35:21Z,alice.brown@contoso.com,192.168.1.10,0,Success,United States,New York,Microsoft Teams,Chrome 120,Unknown,RemoteInteractive,none,True,success,Normal
2026-02-19T17:36:21Z,bob.wilson@contoso.com,172.16.0.5,0,Success,Canada,Berlin,Office 365 Exchange Online,Safari 17,Windows 11,Network,none,False,notApplied,Normal
2026-02-19T17:38:21Z,john.doe@contoso.com,192.168.1.10,0,Success,United Kingdom,Berlin,Outlook Web Access,Chrome 120,Android 14,Network,none,False,success,Normal
2026-02-19T17:38:21Z,jane.smith@contoso.com,10.0.0.33,0,Success,United States,Berlin,Office 365 Exchange Online,Edge 120,iOS 17,Network,medium,True,success,Normal
2026-02-19T17:40:21Z,svc.azure@contoso.com,192.168.1.10,500121,MFA denied by user,Germany,Sydney,OneDrive,Chrome 120,iOS 17,RemoteInteractive,low,True,success,Normal
2026-02-19T17:43:21Z,admin@contoso.com,10.0.0.12,0,Success,United Kingdom,London,Azure Active Directory,Unknown,iOS 17,Service,none,True,success,Normal
2026-02-19T17:44:21Z,john.doe@contoso.com,172.16.0.5,0,Success,Canada,New York,SharePoint Online,Chrome 120,MacOS 13,Service,none,False,success,Normal
2026-02-19T17:45:21Z,helpdesk@contoso.com,172.16.0.20,0,Success,United States,Berlin,Outlook Web Access,Internet Explorer 11,Windows 10,RemoteInteractive,none,True,failure,Normal
2026-02-19T17:46:21Z,david.clark@contoso.com,10.0.0.12,0,Success,Canada,Sydney,Outlook Web Access,Unknown,Android 14,Interactive,none,False,success,Normal
2026-02-19T17:47:21Z,ceo@contoso.com,192.168.1.25,50126,Invalid username or password,United Kingdom,London,OneDrive,Unknown,Windows 10,Interactive,none,True,success,Normal
2026-02-19T17:49:21Z,svc.backup@contoso.com,10.0.0.5,0,Success,United Kingdom,Berlin,Office 365 Exchange Online,Firefox 121,Unknown,Network,none,True,success,Normal
